iter	RMSE
0	0.5510059073
1	0.5339808926
2	0.5178927615
3	0.5029573399
4	0.4883090048
5	0.4755497103
6	0.463384023
7	0.4520716667
8	0.4412210773
9	0.4307109633
10	0.4211807397
11	0.4122438306
12	0.4036369895
13	0.3958216657
14	0.3887533856
15	0.3821385242
16	0.3752990206
17	0.3690321714
18	0.3634210111
19	0.3579736347
20	0.3530338467
21	0.3483401836
22	0.3439964403
23	0.3398420029
24	0.3356212482
25	0.3321486553
26	0.3288963216
27	0.3254779102
28	0.3223574345
29	0.319566012
30	0.3171158147
31	0.3144888984
32	0.3120908993
33	0.3098218842
34	0.3076386642
35	0.3056783476
36	0.3037530929
37	0.3019048515
38	0.3000074534
39	0.2984495113
40	0.2969168844
41	0.2950413301
42	0.2929873088
43	0.2917676175
44	0.290662583
45	0.2892412678
46	0.2880180998
47	0.2867255031
48	0.2851013823
49	0.2839878583
50	0.2824268615
51	0.2815175844
52	0.2804309379
53	0.2795454879
54	0.2787209863
55	0.277917588
56	0.2772903731
57	0.2763472644
58	0.2751942271
59	0.274046842
60	0.2734418756
61	0.2727330586
62	0.2716449212
63	0.2708035862
64	0.269855995
65	0.2692080391
66	0.2685954906
67	0.2681379047
68	0.2673956059
69	0.26686231
70	0.2661406474
71	0.2656199177
72	0.2651476536
73	0.2646577146
74	0.2643066284
75	0.2632835423
76	0.2623052814
77	0.261969478
78	0.2612433345
79	0.2609389848
80	0.2604606424
81	0.2595659615
82	0.2590669055
83	0.2585561605
84	0.2581710001
85	0.2579180313
86	0.2573659425
87	0.2569723289
88	0.2562687225
89	0.2559578035
90	0.2557195621
91	0.2554402903
92	0.2546163784
93	0.2543730691
94	0.2541690202
95	0.2537893042
96	0.253470083
97	0.2529130233
98	0.2523909855
99	0.2521657301
100	0.2516947362
101	0.25144167
102	0.251242527
103	0.2509403942
104	0.2507082286
105	0.2501844897
106	0.2498431156
107	0.2496768509
108	0.2491010591
109	0.2489096842
110	0.2487658577
111	0.2484882273
112	0.2480718485
113	0.2476761993
114	0.2473288948
115	0.2468223917
116	0.2466074429
117	0.2462394776
118	0.2459995447
119	0.2457575884
120	0.2455690638
121	0.2452620758
122	0.2449528416
123	0.2448259472
124	0.2443499865
125	0.2440501874
126	0.243867469
127	0.243655845
128	0.2433826772
129	0.2431807465
130	0.2426488751
131	0.2422798996
132	0.242122224
133	0.2419602539
134	0.2415811257
135	0.2413856565
136	0.2411532855
137	0.2407949984
138	0.2403745812
139	0.2402630391
140	0.2400807887
141	0.2398776313
142	0.2397045795
143	0.2395294228
144	0.2392676241
145	0.2391522182
146	0.2388658276
147	0.2386052266
148	0.2383764036
149	0.2382337169
150	0.2380151544
151	0.2378372473
152	0.2375835454
153	0.23740134
154	0.2371710167
155	0.2369867229
156	0.2367944414
157	0.2364855698
158	0.236378033
159	0.2361586053
160	0.2359219017
161	0.2356110966
162	0.2354371645
163	0.2352807034
164	0.2350515354
165	0.2347961964
166	0.2346823369
167	0.2345400645
168	0.2344431028
169	0.2343267849
170	0.2341630024
171	0.234050156
172	0.2339517249
173	0.2337226377
174	0.2336603594
175	0.2335297955
176	0.2333783406
177	0.2332965399
178	0.233149368
179	0.2328675835
180	0.2327158904
181	0.2324753861
182	0.2323124363
183	0.2321503677
184	0.2320766332
185	0.2317855169
186	0.2316427202
187	0.2313996434
188	0.2313072656
189	0.2311377517
190	0.2310197959
191	0.2308607436
192	0.2306780751
193	0.2304781946
194	0.2303223089
195	0.2302195942
196	0.2299394175
197	0.2296466146
198	0.2294510777
199	0.2292228358
200	0.2290771468
201	0.2289126376
202	0.2287687454
203	0.2284928758
204	0.2283567163
205	0.2282830145
206	0.22811516
207	0.2278651777
208	0.2276856455
209	0.2274957635
210	0.2272266397
211	0.2269982488
212	0.2268509342
213	0.2265528301
214	0.2264590102
215	0.2263252269
216	0.2260593099
217	0.2258982105
218	0.2258039708
219	0.2257207401
220	0.2255861493
221	0.2253839639
222	0.2251633505
223	0.2249158972
224	0.2247571647
225	0.2245362266
226	0.2243597032
227	0.2242315985
228	0.2240845953
229	0.2238411841
230	0.2236611166
231	0.2235315959
232	0.2234452717
233	0.2232350057
234	0.2231096433
235	0.2229490936
236	0.2226985637
237	0.2225109699
238	0.2223402082
239	0.222240876
240	0.2220284476
241	0.2219234936
242	0.22173512
243	0.2215750865
244	0.2214442688
245	0.2213292045
246	0.2211978871
247	0.2209548155
248	0.2206978154
249	0.2205289871
250	0.2203742848
251	0.2201881277
252	0.2200114344
253	0.2198499095
254	0.2196372629
255	0.2194794195
256	0.2192475003
257	0.2191259325
258	0.2190590781
259	0.2188638013
260	0.2187465485
261	0.2185578179
262	0.2184379276
263	0.2183181086
264	0.2182004157
265	0.218106346
266	0.2179520668
267	0.2178142689
268	0.2177096554
269	0.2176135815
270	0.2174570848
271	0.2173833201
272	0.2172343635
273	0.2170894018
274	0.2170390721
275	0.2168688886
276	0.2167337924
277	0.2166057171
278	0.2165419358
279	0.2164780181
280	0.2163668287
281	0.216253599
282	0.2161357333
283	0.2160302838
284	0.2158356435
285	0.2157427314
286	0.2155731731
287	0.2154180932
288	0.215259227
289	0.2151542945
290	0.2150757163
291	0.2149179769
292	0.2148153432
293	0.2146712649
294	0.2145121977
295	0.2143964235
296	0.2142890959
297	0.2141991915
298	0.2140959799
299	0.2139450392
300	0.2137641671
301	0.2136563612
302	0.2135675063
303	0.2134635192
304	0.2133463429
305	0.213193933
306	0.2131024673
307	0.2130039573
308	0.2128597446
309	0.2127789725
310	0.2126433869
311	0.2125184727
312	0.2124268382
313	0.212280946
314	0.2122003378
315	0.2121399512
316	0.2120549242
317	0.2119881836
318	0.2118983398
319	0.2118087437
320	0.211737781
321	0.211555739
322	0.2114136336
323	0.211300004
324	0.2111447457
325	0.2110530005
326	0.2109362387
327	0.2108351098
328	0.2107577617
329	0.2106691653
330	0.2105261262
331	0.2104217053
332	0.2103168422
333	0.2102381993
334	0.2101376115
335	0.2100354927
336	0.2099260391
337	0.2098379318
338	0.2097700706
339	0.2096921751
340	0.2095791303
341	0.2094992931
342	0.2094240393
343	0.209370728
344	0.2092878358
345	0.2091058338
346	0.2089868248
347	0.208866966
348	0.2087289502
349	0.2086436474
350	0.2085632036
351	0.2084797029
352	0.2084399635
353	0.2083606464
354	0.2081921605
355	0.2081348967
356	0.208018806
