iter	Passed	Remaining
0	4	3927
1	9	3755
2	14	3776
3	19	3816
4	24	3856
5	29	3850
6	34	3870
7	38	3838
8	43	3788
9	47	3756
10	52	3734
11	56	3704
12	60	3684
13	65	3662
14	69	3652
15	74	3639
16	78	3619
17	82	3601
18	86	3573
19	90	3547
20	95	3525
21	99	3511
22	103	3495
23	107	3475
24	111	3458
25	115	3446
26	119	3434
27	124	3423
28	128	3412
29	132	3402
30	137	3402
31	141	3405
32	146	3400
33	150	3397
34	154	3384
35	158	3373
36	162	3360
37	167	3355
38	171	3349
39	175	3339
40	179	3330
41	184	3324
42	188	3313
43	192	3306
44	196	3300
45	200	3289
46	204	3282
47	208	3273
48	213	3268
49	217	3258
50	221	3250
51	225	3241
52	229	3231
53	233	3223
54	237	3214
55	241	3203
56	245	3201
57	249	3197
58	254	3192
59	258	3185
60	262	3178
61	266	3171
62	270	3165
63	274	3158
64	278	3153
65	282	3147
66	286	3138
67	290	3130
68	294	3125
69	299	3118
70	303	3113
71	307	3106
72	311	3099
73	315	3094
74	319	3086
75	323	3081
76	327	3077
77	331	3070
78	336	3067
79	340	3064
80	344	3059
81	348	3054
82	352	3048
83	356	3041
84	360	3035
85	364	3029
86	369	3030
87	373	3025
88	378	3022
89	382	3016
90	386	3010
91	390	3004
92	394	2999
93	398	2993
94	402	2987
95	406	2982
96	410	2977
97	415	2972
98	419	2968
99	423	2961
100	427	2956
101	431	2951
102	435	2945
103	439	2939
104	443	2933
105	447	2928
106	451	2923
107	455	2918
108	459	2912
109	463	2906
110	467	2901
111	471	2897
112	475	2892
113	479	2887
114	483	2881
115	488	2878
116	492	2873
117	496	2868
118	500	2863
119	504	2858
120	508	2853
121	512	2849
122	516	2844
123	521	2840
124	525	2840
125	529	2834
126	533	2828
127	538	2825
128	542	2819
129	545	2813
130	550	2810
131	554	2807
132	558	2803
133	563	2798
134	567	2794
135	571	2792
136	576	2787
137	580	2782
138	584	2779
139	588	2775
140	592	2771
141	597	2766
142	601	2762
143	605	2758
144	609	2753
145	613	2747
146	617	2742
147	621	2736
148	625	2731
149	628	2725
150	632	2719
151	636	2714
152	640	2709
153	644	2704
154	648	2700
155	653	2696
156	657	2691
157	661	2687
158	665	2681
159	669	2676
160	673	2672
161	677	2667
162	681	2663
163	685	2660
164	689	2655
165	693	2650
166	698	2645
167	702	2642
168	706	2637
169	710	2632
170	714	2627
171	718	2621
172	722	2617
173	726	2612
174	730	2607
175	734	2602
176	737	2597
177	741	2592
178	745	2587
179	749	2582
180	753	2578
181	758	2574
182	762	2570
183	766	2566
184	770	2561
185	775	2558
186	779	2554
187	783	2551
188	787	2546
189	791	2542
190	796	2538
191	800	2534
192	804	2529
193	808	2526
194	812	2522
195	817	2517
196	821	2513
197	825	2509
198	829	2504
199	833	2500
200	837	2495
201	842	2493
202	846	2489
203	850	2485
204	854	2480
205	858	2475
206	862	2470
207	866	2466
208	870	2461
209	874	2457
210	878	2453
211	882	2448
212	886	2443
213	891	2440
214	895	2435
215	899	2431
216	903	2427
217	907	2423
218	911	2419
219	916	2415
220	920	2411
221	924	2407
222	928	2402
223	932	2398
224	936	2393
225	940	2389
226	945	2385
227	949	2381
228	953	2377
229	958	2374
230	962	2370
